Date,Username,Tweet
2023-01-29 02:48:00+00:00,PendisKemenag,"Siap-Siap! Bantuan Inkubasi Bisnis Pesantren 2023 Segera Dibuka

https://t.co/gVGTrILwRQ"
2023-01-29 02:40:30+00:00,PendisKemenag,"Dirjen Pendis Harap UIN Lampung Bisa Jadi Institusi yang Agile

https://t.co/7fCPHPDC5R"
2023-01-29 01:51:30+00:00,Safwadi80,@PendisKemenag Alamat link pendaftarannya di semat jga Mimin..🙏
2023-01-29 01:47:30+00:00,PendisKemenag,"Rektor UIN SGD dan MAN IC Tandatangani MOU: Alumni MAN IC Bisa Masuk UIN Sunan Gunung Djati Tanpa Seleksi

https://t.co/abOkA8uVoM"
2023-01-29 01:14:37+00:00,man2jepara,"Assalamu'alaikum Wr.Wb. warga #manara

PKKM MAN 2 JEPARA
JEPARA, 28 JANUARI 2023

@kemenagjeparaofficial @kanwiljateng
@kemenag_ri @gusyaqut
@pendidikanmadrasah @kamimadrasah
@madrasahreform @kemenag.jateng
@gtkmadrasah @pendiskemenag
@pendidikanmadrasah
@pendidikanpesantren https://t.co/DPYNPQnkrb"
2023-01-29 00:46:55+00:00,PendisKemenag,"Kemenag Selenggarakan Pelatihan Kurikulum Merdeka Melalui MOOC Pintar

https://t.co/kqEn9YLK1X"
2023-01-29 00:02:52+00:00,masjidunadotcom,"Inspirasi Pendidikan (Kesejukan Embun Subuh)

Oleh: Noryamin Aini (Dosen Fakultas Syariah dan Hukum UIN Jakarta)

@uinjktofficial @fshuinjakarta
@PendisKemenag
#Masjiduna #ReferensiBeritaIslamIndonesia  

https://t.co/xwejLAbNsF"
2023-01-28 03:17:37+00:00,direktorat_pai,"Selamat Atas Pelaksanaan Uji Pengetahuan PPG dalam Jabatan angkatan 3

@PendisKemenag

#kerukunanumatuntukindonesiahebat #paimoderat #moderasiberagama https://t.co/urFLsgPMkX"
2023-01-27 13:48:03+00:00,PPesantren,"Serentak, Kemenag selenggarakan Simulasi Imtihan Wathani satuan PDF Tahun 2023.

https://t.co/mjDiaqTvqO

@PendisKemenag 
@Kemenag_RI"
2023-01-27 10:57:00+00:00,PendisKemenag,"Tuan Rumah ISOE 2023, Kepala MAN 2 Kota Makassar Audiensi Ke Walikota

https://t.co/H3UJXqdnm9"
2023-01-27 07:56:00+00:00,PendisKemenag,"MTs Negeri 7 Malang Deklarasi Satuan Pendidikan Ramah Anak

https://t.co/b7xY6tFWTc"
2023-01-27 05:55:00+00:00,PendisKemenag,"MtsN 1 Kota Gorontalo Terima Penghargaan Satker Terbaik dari KPPN Gorontalo

https://t.co/jHkTCff21u"
2023-01-27 05:47:38+00:00,Anandawira18,"@PendisKemenag Assalamu alaikum. Mohon maaf bertanya min, untuk kegitan ekstra kurukuler tingakat MI apakah ada di juknis BOS"
2023-01-27 04:54:00+00:00,PendisKemenag,"MTS Negeri 1 Lombok Barat Juarai Lomba PMR

https://t.co/K4SYfiXrav"
2023-01-27 02:52:30+00:00,PendisKemenag,"Siswa MANKOPAS Belajar Bahasa Jepang dari Native Speaker Jepang

https://t.co/mqep61TghZ"
2023-01-27 01:51:52+00:00,PendisKemenag,"MTS Negeri 1 Lombok Barat Juara I Student Athletics Championship Bali

https://t.co/Wtlk0oDcMq"
2023-01-27 01:51:12+00:00,PendisKemenag,"Kemenag Sosialisasi Implementasi Kurikulum Merdeka

https://t.co/4AeO738Yvd"
2023-01-26 17:04:20+00:00,Maannur_sumenep,"Ekskul bola futsal

@Kemenag_RI @kemenagsumenep @PendisKemenag @LPMQKemenagRI https://t.co/IgPqAV69vV"
2023-01-26 12:41:02+00:00,irwan24tanjung,@IBTimesID @PendisKemenag Rqdikalisme itu apa sih??
2023-01-26 11:59:00+00:00,IBTimesID,"Radikalisme menjadi musuh bersama ya sob. Tidak ada yang boleh tinggal diam.

Kita semua perlu menumpas radikalisme dan kawan-kawannya itu sampai hilang.

Gimana caranya? Banyak yang bisa kita lakukan. Salah satunya lewat pendidikan.

@PendisKemenag

See-
https://t.co/8udYAry3JE"
2023-01-26 11:31:00+00:00,PendisKemenag,"Gandeng Pusdiklat Administrasi Kemenag, UIN Walisongo Gelar ToT Moderasi Beragama

https://t.co/Jrie1WFqMg"
2023-01-26 08:58:30+00:00,PendisKemenag,"Siswa MTsN 4 TALA Ikut Konferensi Daerah KE XI PII

https://t.co/WCaIEVTnPM"
2023-01-26 08:02:21+00:00,Maannur_sumenep,"Acara pisah sambut pengawas dengan para Kepala MA se-Giligenting. Pengawas lama: Muhammad Nurul Hajar, S.Pd, M.Pd.  Pengawas baru: Joni Suharjono, S.Pd, M.Pd

@Kemenag_RI @kemenagsumenep @kemenagri_pusat @PendisKemenag @ https://t.co/XH4vVopHFI"
2023-01-26 06:57:00+00:00,PendisKemenag,"Field Trip P5RA Kelas VII MTs Negeri 1 Balikpapan ke Batik Shaho

https://t.co/I06NW3yDNG"
2023-01-26 04:56:30+00:00,PendisKemenag,"UIN Launching Satgas Hisbah Ar-Raniry, Ini Tugasnya

https://t.co/5ML6FInZJr"
2023-01-26 03:57:29+00:00,Anandawira18,@PendisKemenag Alokasinya untuk guru Apa saja min?
2023-01-26 03:55:00+00:00,PendisKemenag,"Di Era Persaingan Kemenag Dorong UIN Palu Akselerasi Guru Besar

https://t.co/XLVLMvO8ky"
2023-01-26 01:53:30+00:00,PendisKemenag,"Kilas 2022 : MTsN 1 Paser Raih 455 Prestasi selama Tahun 2022

https://t.co/IlhNE1Na30"
2023-01-26 00:52:30+00:00,PendisKemenag,"LPDP-Kemenag Danai PPG Tingkatkan Profesionalitas Guru

https://t.co/IukWabMICE"
2023-01-25 23:52:13+00:00,PendisKemenag,"Serentak, Kemenag selenggarakan Simulasi Imtihan Wathani satuan PDF Tahun 2023

https://t.co/HKBtkpeHVY"
2023-01-25 14:22:18+00:00,PendisKemenag,KICK OFF PROYEK REP-MEQR 2023 https://t.co/2go3oJQtJb lewat @YouTube
2023-01-25 12:34:49+00:00,Maannur_sumenep,"Dalam Rangkah pemenuhan program pemerintah dalam mewujudkan madrasah Digital MA An-Nur Giligenting melakukan berbagai persiapan salah satunya yaitu penyelenggaraan pelatihan pengelolaan data daan desain grafis Dibidang informatika

@Kemenag_RI @PendisKemenag https://t.co/1vutU3IU34"
2023-01-25 09:11:30+00:00,PendisKemenag,"Tahun ini, Kemenag Gelontorkan Dana BOS Pesantren Sebanyak 340 Miliar

https://t.co/7yJ87bv1zU"
2023-01-25 06:15:30+00:00,PendisKemenag,"MTsN 2 Kediri Juarai Lomba MTQ di Ajang National Creatifity Competition (NCC)

https://t.co/2As8OXKlBl"
2023-01-25 04:26:56+00:00,PPesantren,"Tahun ini, Kemenag Gelontorkan Dana BOS Pesantren Sebanyak 340 Miliar.

https://t.co/BpJfIdRhpt

@PendisKemenag 
@Kemenag_RI"
2023-01-25 03:14:30+00:00,PendisKemenag,"Berkolaborasi Memajukan UIN MY Batusangkar, 20 Lembaga Kemahasiswaan Resmi di Lantik Rektor Prof. Marjoni Imamora

https://t.co/Agejf6cp4Y"
2023-01-25 02:12:30+00:00,PendisKemenag,"Kepala MAN IC Bateng Lakukan Koordinasi Sarpras dengan Bupati Bangka Tengah

https://t.co/lPlQ9Uk3cV"
2023-01-25 01:16:30+00:00,PendisKemenag,"Menag Resmikan MTsN 1 Kota Malang Menjadi Madrasah Digital

https://t.co/6Pbe2yjKnH"
2023-01-25 00:11:47+00:00,PendisKemenag,"Kemenag Dorong Akselerasi Guru Besar PTKIN UIN Datokarama Palu

https://t.co/HZWeQHqaN5"
2023-01-24 09:05:48+00:00,IBTimesID,"Filsafat punya peran penting dalam segala bidang keilmuan. Termasuk di bidang pendidikan Islam.

Mungkin dari segi metode pembelajarannya dan masih banyak peran yang lain.☺️

@PendisKemenag 
@pojokpendidikan 

See-
https://t.co/cFfzr4Ukp2"
2023-01-24 03:09:00+00:00,PendisKemenag,"Menag Resmikan Enam Madrasah Digital Moderat

https://t.co/CRDjhJuaCT"
2023-01-24 02:16:36+00:00,Mtsn2Kudus,"@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag https://t.co/1HZ8XhJCuU"
2023-01-24 01:52:39+00:00,Mtsn2Kudus,"@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag"
2023-01-23 00:45:01+00:00,Jumono48706624,@PendisKemenag assalamualaikum
2023-01-22 12:18:00+00:00,PendisKemenag,"Dengan Moderasi Beragama, PAI Dinilai Lebih Maju dari Mapel Lain

https://t.co/XzjYUyyrZg"
2023-01-22 11:17:00+00:00,PendisKemenag,"Serial Moderasi Beragama pada Sekolah: Mengembangkan Toleransi Beragama di Sekolah

https://t.co/C3trzjx6d2"
2023-01-22 06:16:00+00:00,PendisKemenag,"MTsN 8 Ngawi Juarai Pencak Silat Bandung Lautan Api Internasional Championship IV

https://t.co/Hri5WV1ZuO"
2023-01-22 04:15:30+00:00,PendisKemenag,"Bimtek Konvensi Hak Anak (KHA) dan Satuan Pendidikan Ramah Anak (SRA), Menuju Madrasah Ramah Anak

https://t.co/PfpzFPESm3"
2023-01-22 03:12:52+00:00,PendisKemenag,"MTsN 2 Balikpapan Go Internasional melalui SOS4Love PBB

https://t.co/PBbqonF4UF"
2023-01-20 13:59:30+00:00,PendisKemenag,"Mahasiswi PBSB Lulusan Termuda dan Terbaik Pada Pelantikan dan Pengambilan Sumpah Dokter XLIII UIN Jakarta

https://t.co/ZO16CEM6W5"
2023-01-20 13:34:10+00:00,maswiryosaja,"@PendisKemenag @YaqutCQoumas

Mohon atensi @uinjktofficial"
2023-01-20 10:54:30+00:00,PendisKemenag,"Peresmian Ruang Kelas Baru (RKB) MTs Tarakan dan MIN 1 Bulungan Kalimantan Utara

https://t.co/hU5MRP2oXl"
2023-01-20 08:19:07+00:00,PPesantren,"Mahasiswi PBSB Lulusan Termuda dan Terbaik Pada Pelantikan dan Pengambilan Sumpah Dokter XLIII UIN Jakarta.

https://t.co/CAAK4DyHJa

@PendisKemenag 
@Kemenag_RI"
