Date,Username,Tweet
2023-01-08 02:13:32+00:00,Mahadalynj,"https://t.co/9hFTIsOBOV

Wassalamu'alaikum wa Rahmatullahi wa Barakatuh

@PendisKemenag @Kemenag_RI"
2023-01-07 05:25:00+00:00,PendisKemenag,"Milad Perak UIN Mahmud Yunus Batusangkar Meriah, Berbagai Prestasi Diraih

https://t.co/ZmQWEth9Vv"
2023-01-07 02:23:00+00:00,PendisKemenag,"Hadirkan Direktur Malikal Zentrum Institute, UIN Gus Dur Siap Akreditasi Internasional

https://t.co/TN7GXuDZZe"
2023-01-07 02:08:17+00:00,miyappimulusan,"Peringatan HAB Kemenag ke-77
@kemenagri_pusat
@Kemenag_RI
@Kemenag_DIY
@PendisKemenag
@kemenaggk

https://t.co/XR2jpct4LY"
2023-01-07 00:22:30+00:00,PendisKemenag,"MAN 2 Jakarta Raih Terbaik I Jakarta Madrasah Digital Award

https://t.co/7FyHlngdRL"
2023-01-06 23:20:00+00:00,PendisKemenag,"Ciptakan Smart School Security, Siswa MTsN 9 Bantul Raih Medali Silver I2ASPO 2022

https://t.co/UZuEEWh0n9"
2023-01-06 12:19:00+00:00,PendisKemenag,"Kado HAB Kemenag ke 77, MTsN 1 Yogyakarta Raih Juara Kompetisi Robotik Internasional

https://t.co/5qrtDNMjkI"
2023-01-06 09:18:30+00:00,PendisKemenag,"Spektakuler, UIN MY Batusangkar Raih 2 Prodi Terakreditasi Unggul Awal Tahun 2023

https://t.co/zqwhcYTlsf"
2023-01-06 07:59:30+00:00,PendisKemenag,"Jalan Sehat dan Aneka Perlombaan Meriahkan HAB ke-77 Kemenag di UIN Gus Dur Pekalongan

https://t.co/XiDleKIrY1"
2023-01-06 06:58:00+00:00,PendisKemenag,"FAH Yudisium 137 Lulusan, Dekan Ingatkan Pentingnya Integritas

https://t.co/FczPd4s2RL"
2023-01-06 06:14:32+00:00,PendisKemenag,"Dua Madrasah Raih Predikat WBK Tahun 2022

https://t.co/SZkxwmkmCC"
2023-01-05 05:52:45+00:00,swazzn,@MUSAFANGATUN3 @PendisKemenag Pak mau nanya ini saya ngajar di Madrasah swasta dan udah daftar p3k kemenag tapi masih di tahap riwayat itu bisa di batalkan atau  tidak soalnya denger² ini harus swasta negri dan kalau sudah daftar nik nya bakalan nyangkut
