Date,Username,Tweet,label
2022-08-21 09:09:43+00:00,dwiagussamudra9,"@PendisKemenag 
@Kemenag_RI 

Semoga seleksi penerimaan PPG batch ke 3 guru di kementerian agama lancar dan semua peserta diberi yang terbaik dan lulus........
(Meskipun saya dan yang lainnya belum pernah mencicipi pre tes dll, meskipun bertahun- tahun me",
2022-08-20 02:47:40+00:00,Mr_Syam,@PendisKemenag kenapa pengajuan muadalah selalu filed ?,
2022-08-19 06:03:56+00:00,Alimusyafak_jpr,@PendisKemenag Semoga mbarokahi bagi kita semua..,
2022-08-18 08:43:47+00:00,AlusCuy,@PendisKemenag mohon penjelasannya pak direktur Pendidikan Islam Kementerian agama Republik Indonesia kaitan Prodi/jurusan Manajemen Pendidikan Islam /KI kenapa tidak bisa ikut sertifikasi/PPG di kemenag.. justru kenapa di sekolah dinas pendidikan malah d,
2022-08-18 08:43:34+00:00,AlusCuy,@PendisKemenag mohon penjelasannya pak direktur Pendidikan Islam Kementerian agama Republik Indonesia kaitan Prodi/jurusan Manajemen Pendidikan Islam /KI kenapa tidak bisa ikut sertifikasi/PPG di kemenag.. justru kenapa di sekolah dinas pendidikan malah d,
2022-08-17 23:37:04+00:00,arismun60219134,@PendisKemenag Mohon di tindak asn ini karena sudah melakukan oencemaran nama baik dan kerugian di mutasi dan di tindak disiplin mohon kiranya bapak itjen menindak tegas terima kasih https://t.co/HAOdBlcjuJ,
2022-08-17 23:35:20+00:00,arismun60219134,@PendisKemenag masalah nya ybs sdh membawa bawa instansi kami dan kami sangat di rugikan karir kami maaf sblmnya bapak ijin,
2022-08-17 23:32:59+00:00,arismun60219134,@PendisKemenag maaf bukan saya menyebar luaskan karena ybs mwncoba mwlarikan diri dari masalah ini jadi kami mohon minta bantuan bapak pendis kemenag kami juga ada beberapa fhoto kenakalan beliau kami sdh menjadi korban kami di mutasi dan dan di beri tind,
2022-08-17 23:30:58+00:00,arismun60219134,@PendisKemenag ini nipnya  kami sangat kecewa penanganan di kemenag aceh langsa karena ybs sudah mengacak ngacak instansi kami https://t.co/xYBJo0WjDy,
2022-08-17 23:26:08+00:00,arismun60219134,"@PendisKemenag kehilangan pekerjaan,kalau di tempat instansi kami sdh berbuat seperti itu pasti di pindah apakah di kemenag semua asn kebal hukum,?",
